1 2 3
1 3 6
1 4 3
1 5 4
1 6 4
1 7 3
1 8 3
1 9 6
1 10 4
1 11 3
1 12 3
1 13 5
1 14 5
1 15 6
1 16 4
1 17 3
1 18 3
1 19 6
1 20 6
1 21 5
1 22 3
1 23 6
1 24 3
1 25 3
1 26 6
1 27 5
1 28 5
1 29 5
1 30 6
1 31 6
1 32 4
1 33 6
1 34 3
1 35 4
1 36 5
1 37 4
1 38 3
1 39 5
1 40 3
1 41 3
1 42 6
1 43 3
1 44 3
1 45 4
1 46 5
1 47 4
1 48 5
1 49 3
1 50 4
1 51 1
1 52 1
1 53 3
1 54 1
1 55 1
1 56 3
1 57 1
1 58 1
1 59 3
1 60 2
1 61 3
1 62 3
1 63 3
1 64 1
1 65 1
1 66 2
1 67 2
1 68 1
1 69 1
1 70 1
1 71 3
1 72 1
1 73 2
1 74 1
1 75 1
1 76 1
1 77 3
1 78 1
1 79 1
1 80 2
1 81 1
1 82 3
1 83 3
1 84 3
1 85 3
1 86 3
1 87 2
1 88 2
1 89 2
1 90 2
1 91 2
1 92 2
1 93 2
1 94 3
1 95 3
1 96 2
1 97 1
1 98 2
1 99 2
1 100 2
2 3 5
2 4 5
2 5 3
2 6 5
2 7 6
2 8 5
2 9 6
2 10 6
2 11 3
2 12 6
2 13 6
2 14 5
2 15 6
2 16 6
2 17 5
2 18 6
2 19 4
2 20 4
2 21 5
2 22 5
2 23 4
2 24 5
2 25 3
2 26 3
2 27 3
2 28 4
2 29 5
2 30 3
2 31 3
2 32 3
2 33 4
2 34 4
2 35 4
2 36 6
2 37 5
2 38 4
2 39 5
2 40 5
2 41 4
2 42 5
2 43 3
2 44 3
2 45 6
2 46 3
2 47 4
2 48 3
2 49 3
2 50 5
2 51 1
2 52 2
2 53 2
2 54 1
2 55 1
2 56 3
2 57 1
2 58 1
2 59 2
2 60 1
2 61 3
2 62 1
2 63 3
2 64 3
2 65 2
2 66 1
2 67 2
2 68 2
2 69 2
2 70 1
2 71 2
2 72 1
2 73 1
2 74 2
2 75 2
2 76 2
2 77 1
2 78 1
2 79 1
2 80 2
2 81 2
2 82 3
2 83 1
2 84 1
2 85 3
2 86 2
2 87 2
2 88 3
2 89 1
2 90 1
2 91 3
2 92 1
2 93 3
2 94 3
2 95 3
2 96 2
2 97 2
2 98 1
2 99 1
2 100 1
3 4 6
3 5 4
3 6 4
3 7 5
3 8 6
3 9 4
3 10 6
3 11 5
3 12 6
3 13 3
3 14 5
3 15 6
3 16 5
3 17 5
3 18 3
3 19 3
3 20 4
3 21 5
3 22 4
3 23 6
3 24 5
3 25 6
3 26 4
3 27 6
3 28 3
3 29 5
3 30 5
3 31 3
3 32 6
3 33 3
3 34 5
3 35 3
3 36 3
3 37 6
3 38 4
3 39 6
3 40 6
3 41 6
3 42 5
3 43 6
3 44 3
3 45 3
3 46 6
3 47 6
3 48 5
3 49 4
3 50 6
3 51 1
3 52 1
3 53 2
3 54 3
3 55 3
3 56 2
3 57 3
3 58 1
3 59 2
3 60 2
3 61 1
3 62 3
3 63 2
3 64 3
3 65 3
3 66 1
3 67 3
3 68 1
3 69 2
3 70 2
3 71 1
3 72 1
3 73 1
3 74 2
3 75 3
3 76 1
3 77 3
3 78 2
3 79 2
3 80 3
3 81 2
3 82 2
3 83 1
3 84 1
3 85 2
3 86 3
3 87 3
3 88 2
3 89 2
3 90 2
3 91 1
3 92 1
3 93 2
3 94 3
3 95 1
3 96 2
3 97 1
3 98 3
3 99 2
3 100 1
4 5 3
4 6 3
4 7 6
4 8 5
4 9 6
4 10 3
4 11 4
4 12 3
4 13 3
4 14 5
4 15 3
4 16 6
4 17 4
4 18 3
4 19 4
4 20 5
4 21 6
4 22 3
4 23 6
4 24 3
4 25 5
4 26 5
4 27 5
4 28 6
4 29 4
4 30 4
4 31 3
4 32 5
4 33 6
4 34 6
4 35 5
